,date,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
227,2021/7/19,9202,9527.2,9444.93,9514.8,8674,349880,394056,378464
228,2021/7/16,9296,9557.2,9457.6,9520.5,8662.4,372280,392156,381908
229,2021/7/15,9320,9577.2,9468.4,9521.2,8649.1,381300,394264,384548
230,2021/7/14,9334,9598.4,9478.93,9522.7,8635.85,417220,394292,386382
231,2021/7/13,9328,9614.4,9485.6,9523.6,8622.65,422460,393940,386620
232,2021/7/12,9330,9628.4,9488.53,9526,8608.15,370700,389124,386457
233,2021/7/9,9346,9640.8,9494.4,9530.2,8594.35,331840,389632,385714
234,2021/7/8,9420,9660.8,9504,9534.6,8581.65,314600,389744,386033
235,2021/7/7,9492,9679.6,9517.2,9538,8569.15,286540,386024,388269
236,2021/7/6,9558,9696.4,9527.87,9539.9,8556,292700,390532,389665
237,2021/7/5,9606,9699.2,9534.8,9540.4,8541.75,331100,396592,391120
238,2021/7/2,9680,9692.8,9540.4,9542,8526.15,375900,407912,393853
239,2021/7/1,9752,9690.8,9546,9541.3,8509.65,405840,409856,394756
240,2021/6/30,9792,9678,9552,9537.7,8493.35,413940,416800,397860
241,2021/6/29,9816,9664.8,9556.53,9531.5,8476.65,427760,410028,403093
242,2021/6/28,9810,9645.2,9560.93,9518.2,8459.4,454220,409480,409228
243,2021/6/25,9708,9618.8,9560,9501.8,8441.2,466820,406400,414230
244,2021/6/24,9640,9592,9553.07,9486.8,8422.45,528220,402892,413518
